Position,Const,Created,Modified,Description,Name,Known For,Birth Date
842,nm0939697,2014-03-10,2014-03-10,,"Evan Rachel Wood","Thirteen","September 7, 1987"
843,nm0000227,2015-03-08,2015-03-08,,"Mira Sorvino","Mighty Aphrodite","September 28, 1967"
844,nm0955471,2014-03-10,2014-03-10,,"Ziyi Zhang","Yi dai zong shi","February 9, 1979"
845,nm0004789,2014-03-10,2014-03-10,,"Amanda Bynes","Hairspray","April 3, 1986"
846,nm0001435,2014-03-10,2014-03-10,,"Lisa Kudrow","Friends","July 30, 1963"
847,nm1779870,2019-07-29,2019-07-29,,"Brit Marling","Another Earth","August 7, 1982"
848,nm7248827,2020-08-10,2020-08-10,,"Cynthia Erivo","Wicked: Part I","January 8, 1987"
849,nm0005527,2015-03-08,2015-03-08,,"Sofía Vergara","Hot Pursuit","July 10, 1972"
850,nm0601553,2014-03-10,2014-03-10,,"Mandy Moore","A Walk to Remember","April 10, 1984"
851,nm0000515,2014-03-10,2014-03-10,,"Virginia Madsen","Sideways","September 11, 1961"
852,nm0005188,2014-03-10,2014-03-10,,"James Marsden","Hairspray","September 18, 1973"
853,nm0000741,2014-03-10,2014-03-10,,"Tim Allen","Toy Story","June 13, 1953"
854,nm0000610,2014-03-10,2014-03-10,,"Giovanni Ribisi","Boiler Room","December 17, 1974"
855,nm0000442,2016-06-18,2016-06-18,,"Rutger Hauer","Hobo with a Shotgun","January 23, 1944"
856,nm0000681,2014-03-10,2014-03-10,,"Vince Vaughn","The Break-Up","March 28, 1970"
857,nm0004051,2014-03-10,2014-03-10,,"Brian Cox","Succession","June 1, 1946"
858,nm0000598,2014-03-10,2014-03-10,,"Dennis Quaid","Far from Heaven","April 9, 1954"
859,nm0000491,2014-03-10,2014-03-10,,"John Leguizamo","Moulin Rouge!","July 22, 1960"
860,nm0000474,2014-03-10,2014-03-10,,"Michael Keaton","Birdman or (The Unexpected Virtue of Ignorance)","September 5, 1951"
861,nm0121605,2014-03-10,2014-03-10,,"Billy Burke","Twilight","November 25, 1966"
862,nm0322407,2014-03-10,2014-03-10,,"Brendan Gleeson","Calvary","March 29, 1955"
863,nm0000314,2019-03-18,2019-03-18,,"Charles Bronson","Death Wish","November 3, 1921"
864,nm0000596,2014-03-10,2014-03-10,,"Jonathan Pryce","The Two Popes","June 1, 1947"
865,nm0001497,2014-03-10,2014-03-10,,"Tobey Maguire","Brothers","June 27, 1975"
866,nm0790688,2014-03-10,2014-03-10,,"Michael Sheen","Masters of Sex","February 5, 1969"
867,nm0519043,2014-03-10,2014-03-10,,"Justin Long","Live Free or Die Hard","June 2, 1978"
868,nm0085312,2014-03-10,2014-03-10,,"Jack Black","School of Rock","August 28, 1969"
869,nm0000316,2019-03-18,2019-03-18,,"Mel Brooks","Spaceballs","June 28, 1926"
870,nm0000112,2014-03-10,2014-03-10,,"Pierce Brosnan","The World Is Not Enough","May 16, 1953"
871,nm0000293,2014-03-10,2014-03-10,,"Sean Bean","The Lord of the Rings: The Fellowship of the Ring","April 17, 1959"
872,nm0991810,2017-09-16,2017-09-16,,"Mahershala Ali","Jurassic World: Rebirth","February 16, 1974"
873,nm0241049,2014-03-10,2014-03-10,,"Josh Duhamel","Transformers","November 14, 1972"
874,nm0000552,2014-03-10,2014-03-10,,"Eddie Murphy","Harlem Nights","April 3, 1961"
875,nm0269463,2014-03-10,2014-03-10,,"Jon Favreau","Chef","October 19, 1966"
876,nm0000418,2014-03-10,2014-03-10,,"Danny Glover","Lethal Weapon","July 22, 1946"
877,nm2951768,2014-03-10,2014-03-10,,"Freida Pinto","Slumdog Millionaire","October 18, 1984"
878,nm0240381,2014-03-10,2014-03-10,,"Hilary Duff","A Cinderella Story","September 28, 1987"
879,nm0935541,2014-03-10,2014-03-10,,"Mary Elizabeth Winstead","10 Cloverfield Lane","November 28, 1984"
880,nm0177639,2014-03-10,2014-03-10,,"Jennifer Coolidge","A Mighty Wind","June 1, 1961"
881,nm2057859,2015-03-08,2015-03-08,,"Andrea Riseborough","Birdman or (The Unexpected Virtue of Ignorance)","November 20, 1981"
882,nm0000208,2015-03-08,2015-03-08,,"Molly Ringwald","Sixteen Candles","February 18, 1968"
883,nm0005064,2014-03-10,2014-03-10,,"January Jones","X: First Class","January 5, 1978"
884,nm0748973,2015-03-08,2015-03-08,,"Maya Rudolph","Bridesmaids","July 27, 1972"
885,nm0000521,2015-03-08,2015-03-08,,"Sophie Marceau","La boum","November 17, 1966"
886,nm0004376,2014-03-10,2014-03-10,,"Franka Potente","Lola rennt","July 22, 1974"
887,nm2946516,2019-03-19,2019-03-19,,"Claire Foy","First Man","April 16, 1984"
888,nm0429069,2014-03-10,2014-03-10,,"Rashida Jones","Parks and Recreation","February 25, 1976"
889,nm0000224,2014-03-10,2014-03-10,,"Alicia Silverstone","Clueless","October 4, 1976"
890,nm0001273,2015-07-05,2015-07-05,,"Lillian Gish","The Night of the Hunter","October 14, 1893"
891,nm1431940,2014-03-10,2014-03-10,,"Evangeline Lilly","The Hobbit: The Desolation of Smaug","August 3, 1979"
892,nm1469236,2019-03-19,2019-03-19,,"Olivia Colman","The Favourite","January 30, 1974"
893,nm0257969,2015-03-08,2015-03-08,,"Mireille Enos","World War Z","September 22, 1975"
894,nm0001349,2014-03-10,2014-03-10,,"Jennifer Love Hewitt","I Know What You Did Last Summer","February 21, 1979"
895,nm0002536,2014-03-10,2014-03-10,,"Emmy Rossum","The Phantom of the Opera","September 12, 1986"
896,nm1428821,2014-03-10,2014-03-10,,"Joey King","The Act","July 30"
897,nm0329481,2014-03-10,2014-03-10,,"Ginnifer Goodwin","Zootopia","May 22, 1978"
898,nm0852132,2014-03-10,2014-03-10,,"Christine Taylor","Dodgeball: A True Underdog Story","July 30, 1971"
899,nm1227814,2014-03-10,2014-03-10,,"Vanessa Hudgens","High School Musical 3: Senior Year","December 14, 1988"
900,nm0180411,2014-03-10,2014-03-10,,"Abbie Cornish","Bright Star","August 7, 1982"
901,nm6073955,2020-08-10,2020-08-10,,"Florence Pugh","The Falling","January 3, 1996"
902,nm0000453,2014-03-10,2014-03-10,,"Ian Holm","The Lord of the Rings: The Fellowship of the Ring","September 12, 1931"
903,nm0001447,2014-03-10,2014-03-10,,"Nathan Lane","The Producers","February 3, 1956"
904,nm0000144,2014-03-10,2014-03-10,,"Cary Elwes","Saw","October 26, 1962"
905,nm0001454,2014-03-10,2014-03-10,,"Martin Lawrence","Martin","April 16, 1965"
906,nm0176869,2014-03-10,2014-03-10,,"Steve Coogan","Philomena","October 14, 1965"
907,nm0056187,2014-03-10,2014-03-10,,"Sacha Baron Cohen","Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan","October 13, 1971"
908,nm0942482,2014-03-10,2014-03-10,,"Jeffrey Wright","American Fiction","December 7, 1965"
909,nm0000329,2014-03-10,2014-03-10,,"Jackie Chan","Ngo si seoi","April 7, 1954"
910,nm0001173,2014-03-10,2014-03-10,,"Aaron Eckhart","The Dark Knight","March 12, 1968"
911,nm0941777,2014-03-10,2014-03-10,,"Sam Worthington","Avatar","August 2, 1976"
912,nm0202603,2014-03-10,2014-03-10,,"Jack Davenport","Pirates of the Caribbean: Dead Man's Chest","March 1, 1973"
913,nm0000547,2014-03-10,2014-03-10,,"Alfred Molina","Spider-Man 2","May 24, 1953"
914,nm0000347,2019-03-18,2019-03-18,,"Tim Curry","Congo","April 19, 1946"
915,nm0000434,2014-03-10,2014-03-10,,"Mark Hamill","Star Wars","September 25"
916,nm0000409,2014-03-10,2014-03-10,,"Brendan Fraser","The Mummy","December 3, 1968"
917,nm0001084,2014-03-10,2014-03-10,,"Ice Cube","War of the Worlds","June 15, 1969"
918,nm0000630,2014-03-10,2014-03-10,,"Liev Schreiber","Spotlight","October 4, 1967"
919,nm1159180,2014-03-10,2014-03-10,,"Ed Helms","The Hangover","January 24, 1974"
920,nm8402992,2024-12-18,2024-12-18,,"Daisy Edgar-Jones","Normal People","May 24, 1998"
921,nm4960279,2024-12-18,2024-12-18,,"Margaret Qualley","Once Upon a Time in... Hollywood","October 23, 1994"
922,nm0000174,2014-03-10,2014-03-10,,"Val Kilmer","The Doors","December 31, 1959"
923,nm1258970,2014-03-10,2014-03-10,,"Russell Brand","Arthur","June 4, 1975"
924,nm0005266,2014-03-10,2014-03-10,,"Craig T. Nelson","Coach","April 4, 1944"
925,nm0005170,2014-03-10,2014-03-10,,"Bernie Mac","The Bernie Mac Show","October 5, 1957"
926,nm0001772,2014-03-10,2014-03-10,,"Patrick Stewart","Logan","July 13, 1940"
927,nm0001293,2014-03-10,2014-03-10,,"Seth Green","Robot Chicken","February 8, 1974"
928,nm0005110,2014-03-10,2014-03-10,,"Ashton Kutcher","That '70s Show","February 7, 1978"
929,nm0001642,2014-03-10,2014-03-10,,"Randy Quaid","Kingpin","October 1, 1950"
930,nm0000648,2014-03-10,2014-03-10,,"Wesley Snipes","Blade","July 31, 1962"
931,nm0654648,2015-03-08,2015-03-08,,"David Oyelowo","Government Cheese","April 1, 1976"
932,nm0835016,2014-03-10,2014-03-10,,"Mark Strong","1917","August 5, 1963"
933,nm0001705,2014-03-10,2014-03-10,,"Rob Schneider","Deuce Bigalow: Male Gigolo","October 31, 1963"
934,nm0059431,2014-03-10,2014-03-10,,"Jay Baruchel","This Is the End","April 9, 1982"
935,nm0159789,2014-03-10,2014-03-10,,"Hayden Christensen","Star Wars: Episode II - Attack of the Clones","April 19, 1981"
936,nm0829032,2014-03-10,2014-03-10,,"Ray Stevenson","The Three Musketeers","May 25, 1964"
937,nm0079273,2014-03-10,2014-03-10,,"Paul Bettany","WandaVision","May 27, 1971"
938,nm0491402,2014-03-10,2014-03-10,,"Hugh Laurie","House M.D.","June 11, 1959"
939,nm0000676,2014-03-10,2014-03-10,,"Chris Tucker","Rush Hour 2","August 31, 1971"
940,nm0001006,2019-04-12,2019-04-12,,"John Candy","Planes, Trains & Automobiles","October 31, 1950"
941,nm0000277,2019-03-18,2019-03-18,,"Richard Attenborough","Jurassic Park","August 29, 1923"
942,nm0000563,2014-03-10,2014-03-10,,"Chris O'Donnell","Batman & Robin","June 26, 1970"
943,nm0000973,2014-03-10,2014-03-10,,"Benjamin Bratt","Miss Congeniality","December 16"
944,nm0996669,2014-03-10,2014-03-10,,"Common","John Wick: Chapter 2","March 13, 1972"
945,nm0005541,2014-03-10,2014-03-10,,"Marlon Wayans","White Chicks","July 23, 1972"
946,nm0000983,2014-03-10,2014-03-10,,"Albert Brooks","Drive","July 22, 1947"
947,nm0666739,2019-03-18,2019-03-18,,"Aaron Paul","Breaking Bad","August 27, 1979"
948,nm0000346,2014-03-10,2014-03-10,,"Macaulay Culkin","Home Alone","August 26, 1980"
949,nm0000385,2014-03-10,2014-03-10,,"Sam Elliott","A Star Is Born","August 9, 1944"
950,nm5473782,2019-07-29,2019-07-29,,"Taron Egerton","Kingsman: The Secret Service","November 10, 1989"
951,nm0001029,2014-03-10,2014-03-10,,"Jim Caviezel","The Passion of the Christ","September 26, 1968"
952,nm0000062,2019-03-19,2019-03-19,,"Elvis Presley","Girls! Girls! Girls!","January 8, 1935"
953,nm1706767,2014-03-09,2014-03-09,,"Jonah Hill","21 Jump Street","December 20, 1983"
954,nm0437646,2019-07-29,2019-07-29,,"Sung Kang","Furious 6","April 8, 1972"
955,nm0837177,2014-03-10,2014-03-10,,"Jason Sudeikis","Ted Lasso","September 18, 1975"
956,nm0001326,2014-03-10,2014-03-10,,"Josh Hartnett","Lucky Number Slevin","July 21, 1978"
957,nm0614165,2014-03-10,2014-03-10,,"Cillian Murphy","Breakfast on Pluto","May 25, 1976"
958,nm0001082,2014-03-10,2014-03-10,,"Billy Crudup","Almost Famous","July 8, 1968"
959,nm1107001,2014-03-10,2014-03-10,,"Anthony Mackie","The Hurt Locker","September 23, 1978"
960,nm0000858,2019-03-19,2019-03-19,,"John Barrymore","Twentieth Century","February 15, 1882"
961,nm0648249,2014-03-10,2014-03-10,,"Timothy Olyphant","Justified","May 20, 1968"
962,nm1265802,2014-03-10,2014-03-10,,"Josh Gad","Frozen","February 23, 1981"
963,nm0000708,2019-07-29,2019-07-29,,"Billy Zane","Titanic","February 24, 1966"
964,nm0005561,2014-03-10,2014-03-10,,"Luke Wilson","The Royal Tenenbaums","September 21, 1971"
965,nm0765597,2014-03-10,2014-03-10,,"Peter Sarsgaard","Shattered Glass","March 7, 1971"
966,nm0406975,2014-03-10,2014-03-10,,"Rhys Ifans","Notting Hill","July 22, 1967"
967,nm0333410,2014-03-10,2014-03-10,,"Topher Grace","In Good Company","July 12, 1978"
968,nm0366389,2014-03-10,2014-03-10,,"Kevin Hart","Ride Along","July 6, 1979"
969,nm0200452,2014-03-10,2014-03-10,,"Paul Dano","There Will Be Blood","June 19, 1984"
970,nm0352778,2015-03-08,2015-03-08,,"Bill Hader","The Skeleton Twins","June 7, 1978"
971,nm0000507,2014-03-10,2014-03-10,,"Rob Lowe","St. Elmo's Fire","March 17, 1964"
972,nm0000305,2019-03-19,2019-03-19,,"Mel Blanc","Who Framed Roger Rabbit","May 30, 1908"
973,nm0005450,2014-03-10,2014-03-10,,"David Spade","Joe Dirt","July 22, 1964"
974,nm0000448,2014-03-10,2014-03-10,,"Lance Henriksen","Aliens","May 5, 1940"
975,nm0420955,2015-03-08,2015-03-08,,"Richard Jenkins","The Shape of Water","May 4, 1947"
976,nm0000389,2019-03-19,2019-03-19,,"Emilio Estevez","The Way","May 12, 1962"
977,nm1013003,2014-03-10,2014-03-10,,"Michael Ealy","Barbershop","August 3, 1973"
978,nm0068260,2014-03-10,2014-03-10,,"Jamie Bell","Billy Elliot","March 14, 1986"
979,nm1684869,2019-03-19,2019-03-19,,"Troy Baker","The Last of Us","April 1, 1976"
980,nm1104131,2014-03-10,2014-03-10,,"Danny McBride","Pineapple Express","December 29, 1976"
981,nm0001667,2015-07-05,2015-07-05,,"Jonathan Rhys Meyers","Den 12. mann","July 27, 1977"
982,nm0148418,2014-03-10,2014-03-10,,"Michael Cera","Superbad","June 7, 1988"
983,nm0000200,2016-06-18,2016-06-18,,"Bill Paxton","Frailty","May 17, 1955"
984,nm0344435,2014-03-10,2014-03-10,,"Ioan Gruffudd","Fantastic Four","October 6, 1973"
985,nm0511088,2016-06-18,2016-06-18,,"Andrew Lincoln","The Walking Dead","September 14, 1973"
986,nm0000597,2016-06-18,2016-06-18,,"Bill Pullman","Independence Day","December 17, 1953"
987,nm0732497,2015-03-08,2015-03-08,,"Craig Robinson","This Is the End","October 25, 1971"
988,nm0206359,2014-03-10,2014-03-10,,"Charlie Day","It's Always Sunny in Philadelphia","February 9, 1976"
989,nm1676221,2014-03-10,2014-03-10,,"Andy Samberg","Popstar: Never Stop Never Stopping","August 18, 1978"
990,nm1330560,2014-03-10,2014-03-10,,"Garrett Hedlund","Tron: Legacy","September 3, 1984"
991,nm1024677,2014-03-10,2014-03-10,,"John Krasinski","Jack Ryan","October 20, 1979"
992,nm0001659,2014-03-10,2014-03-10,,"Christopher Reeve","Superman","September 25, 1952"
993,nm0564215,2015-08-13,2015-08-13,,"James McAvoy","Filth","April 21, 1979"
994,nm0001722,2014-03-10,2014-03-10,,"Rufus Sewell","A Knight's Tale","October 29, 1967"
995,nm3485845,2019-03-19,2019-03-19,,"Adam Driver","Star Wars: Episode VII - The Force Awakens","November 19, 1983"
996,nm0000885,2014-03-10,2014-03-10,,"Ned Beatty","Network","July 6, 1937"
997,nm0000092,2014-03-10,2014-03-10,,"John Cleese","A Fish Called Wanda","October 27, 1939"
998,nm0001806,2014-03-10,2014-03-10,,"John Turturro","Fading Gigolo","February 28, 1957"
999,nm0001471,2017-09-16,2017-09-16,,"Jerry Lewis","The Nutty Professor","March 16, 1926"
1000,nm8958770,2024-12-18,2024-12-18,,"Paul Mescal","Aftersun","February 2, 1996"
